# experiment P-72 (R-070)
# hypothesis: The granularity of the active-cell structure is a first-class parameter and it has never been swept. THE MEASURED PRIOR IS A 256x SPREAD FROM ONE KNOB: Hoetzlein, GVDB, HPG 2016, all timings on a Quadro M6000 -- tree build at 2048^3, <3,3,3,3> 616,444 bricks in 461 ms, <3,3,3,4> 83,218 bricks in 69.8 ms, <3,3,3,6> 2,036 bricks in 1.8 ms. Same resolution, same data, 256x apart, and the paper's own conclusion is 'larger brick sizes produce a fewer number of bricks resulting in faster tree changes.' Also measured there: octrees were 30-40% slower on node insertion than N^3-trees. P-40 chose 64 cells per word and never asked whether 64 was right; M-337 measured the stage at 5.5x and 12/12 bit-identical, which settles that the bitmap works and says nothing about its granularity. P-39's Lipschitz brush pruning (M-341, 3.36x median) is the direct analogue of GVDB's topology cull, and GVDB's result says its yield should likewise be granularity-dependent. WHAT THE CUBIC 8^3-64^3 KNOB IS IN THIS CRATE, read from the source before registering rather than assumed: it is the CHUNK, not the word. build_inside_bits packs 64 cells per u64 along X ONLY -- a flat per-row word array with no block or brick layer -- so there is no cubic granularity inside the bitmap to sweep, and u8/u16/u32/u64 would be a 1-D sweep of a packing width rather than GVDB's knob. The unit that is REBUILT ON AN EDIT is the chunk: mark_edit marks chunks, DirtySet holds chunks, mesh_dirty re-meshes chunks. That is GVDB's leaf brick with the same semantics, and C1 is denominated in EDIT-PLUS-REMESH time, which only the chunk path has. THE TRADEOFF IS ARITHMETIC, which is why an optimum should exist at all: total world cells are held fixed, so a chunk of c cells re-samples its shared corner planes at ((c+1)/c)^3 of the field evaluations -- 1.42x at c = 8 against 1.05x at c = 64 -- while a finer dirty set re-meshes fewer cells per edit. Small chunks pay in duplicated samples and save in wasted remesh. (C1) Sweeping the chunk granularity across 8^3, 16^3, 32^3 and 64^3 cells per pruning unit on a live edit trace, at a FIXED total cell count, produces a PRONOUNCED OPTIMUM: the best and worst edit-plus-remesh times differ by at least 2x. (C2) The optimum is FIELD-DEPENDENT, and specifically differs between gyroid (surface everywhere) and fbm_terrain (surface on a sheet). (C3) The spread is SMALLER than GVDB's 256x, and predicted below 4x: GVDB's figure is a tree rebuild on a 2048^3 SPH volume, far larger than a chunk here, and its level-set numbers (5-6x over CPU) are consistently weaker than its volume numbers (60x).
# falsified by: C1 by a flat curve -- best-to-worst under 2x -- which is a genuine null and means M-337's granularity was already at a plateau; that null is worth having and is the expected outcome on the smooth fields. C2 by one granularity winning on BOTH fields, which would make it a constant rather than a parameter. C3 by a spread above 4x, which would be the more valuable outcome and would say the chunk-size regime is not the damping factor it looks like. NO GOLDEN HASH MOVES: this experiment changes no extractor and no placement -- it varies only how the same total cell count is partitioned, and a partition that changed the mesh would be a seam defect and is asserted against.
# commit 2b470c8 on amd-ryzen-9-5900x-12-core at 2026-08-27T00:42:50Z
field,chunk_cells,world_cells,chunks,samples_per_chunk,sample_duplication,edits,dirty_chunks_total,remeshed_cells_total,mark_ms,remesh_ms,total_ms,ms_per_edit,vertices,triangles,distinct_surface_points,vertex_duplication,best_chunk_cells,worst_chunk_cells,spread,c1_holds,c2_holds,c3_holds
gyroid,2,128,262144,27,3.375000,11,1501,12008,5.1290,4.6488,9.7778,0.888887,117490,104518,53110,2.212201,4,64,51.045955,true,false,false
gyroid,4,128,32768,125,1.953125,11,396,25344,4.0470,4.5632,8.6101,0.782738,81548,104518,53110,1.535455,4,64,51.045955,true,false,false
gyroid,8,128,4096,729,1.423828,11,108,55296,3.7997,5.8009,9.6005,0.872775,66066,104518,53110,1.243947,4,64,51.045955,true,false,false
gyroid,16,128,512,4913,1.199463,11,51,208896,3.7441,15.3056,19.0497,1.731792,58884,104518,53110,1.108718,4,64,51.045955,true,false,false
gyroid,32,128,64,35937,1.096710,11,35,1146880,3.7017,64.4792,68.1810,6.198269,55596,104518,53110,1.046809,4,64,51.045955,true,false,false
gyroid,64,128,8,274625,1.047611,11,31,8126464,3.7052,435.8064,439.5116,39.955604,53788,104518,53110,1.012766,4,64,51.045955,true,false,false
fbm_terrain,2,128,262144,27,3.375000,11,1456,11648,14.8526,16.1597,31.0123,2.819298,76344,67910,34360,2.221886,4,64,51.045955,true,false,false
fbm_terrain,4,128,32768,125,1.953125,11,376,24064,13.8465,15.8189,29.6654,2.696851,53023,67910,34360,1.543161,4,64,51.045955,true,false,false
fbm_terrain,8,128,4096,729,1.423828,11,102,52224,13.6423,20.9931,34.6353,3.148667,42894,67910,34360,1.248370,4,64,51.045955,true,false,false
fbm_terrain,16,128,512,4913,1.199463,11,57,233472,13.5624,60.8858,74.4482,6.768019,38292,67910,34360,1.114435,4,64,51.045955,true,false,false
fbm_terrain,32,128,64,35937,1.096710,11,43,1409024,13.5843,287.9472,301.5314,27.411946,36264,67910,34360,1.055413,4,64,51.045955,true,false,false
fbm_terrain,64,128,8,274625,1.047611,11,29,7602176,13.5428,1386.2626,1399.8055,127.255043,35012,67910,34360,1.018976,4,64,51.045955,true,false,false
